"","Date","Tree.ID","Min_rel_TWD","Max_rel_TWD","WP_midday","WP_predawn","Treatment","Tree.Species"
"1",2023-06-21,"B1_D",0,0.480113123251026,NA,NA,"D","B"
"2",2023-06-21,"B23_W",0,0.479421668307943,NA,NA,"W","B"
"3",2023-06-21,"B24_D",0,0.393608756537979,NA,NA,"D","B"
"4",2023-06-21,"B26_D",0,0.171791633414606,NA,NA,"D","B"
"5",2023-06-21,"B27_D",0,0.239322970386427,NA,NA,"D","B"
"6",2023-06-21,"B2_W",0,0.348351073030423,NA,NA,"W","B"
"7",2023-06-21,"B30_W",0,0.47074221668004,NA,NA,"W","B"
"8",2023-06-21,"B38_D",0,0.425880169607958,NA,NA,"D","B"
"9",2023-06-21,"B3_W",0,0.400614222330574,NA,NA,"W","B"
"10",2023-06-21,"B44_W",0,0.150992312295235,NA,NA,"W","B"
"11",2023-06-21,"D15_W",0,0.572723586833837,NA,NA,"W","D"
"12",2023-06-21,"D19_D",0,0.426563866107627,NA,NA,"D","D"
"13",2023-06-21,"D25_W",0,0.359251719928635,NA,NA,"W","D"
"14",2023-06-21,"D28_W",0,0.579694275570667,NA,NA,"W","D"
"15",2023-06-21,"D31_D",0,0.500698744293849,NA,NA,"D","D"
"16",2023-06-21,"D33_D",0,0.437688868991985,NA,NA,"D","D"
"17",2023-06-21,"D39_W",0,0.451323763815974,NA,NA,"W","D"
"18",2023-06-21,"D43_D",0,0.452013410249768,NA,NA,"D","D"
"19",2023-06-21,"D4_W",0,0.466866403725398,NA,NA,"W","D"
"20",2023-06-21,"D7_D",0,0.399603881152382,NA,NA,"D","D"
"21",2023-06-21,"E12_D",0,0.536199401045294,NA,NA,"D","E"
"22",2023-06-21,"E13_W",0,0.612169987070593,NA,NA,"W","E"
"23",2023-06-21,"E19_D",0,0.580537198094845,NA,NA,"D","E"
"24",2023-06-21,"E20_D",0,0.514577042294494,NA,NA,"D","E"
"25",2023-06-21,"E22_W",0,0.509276422743462,NA,NA,"W","E"
"26",2023-06-21,"E30_W",0,0.721171840782644,NA,NA,"W","E"
"27",2023-06-21,"E34_W",0,0.663295045341548,NA,NA,"W","E"
"28",2023-06-21,"E3_W",0,0.592033933767952,NA,NA,"W","E"
"29",2023-06-21,"E40_D",0,0.597677720282381,NA,NA,"D","E"
"30",2023-06-21,"E45_D",0,0.713031990429669,NA,NA,"D","E"
"31",2023-06-22,"B1_D",0,0.448565707241249,NA,NA,"D","B"
"32",2023-06-22,"B23_W",0,0.496813443540389,NA,NA,"W","B"
"33",2023-06-22,"B24_D",0,0.370922045712427,NA,NA,"D","B"
"34",2023-06-22,"B26_D",0,0.275396251920719,NA,NA,"D","B"
"35",2023-06-22,"B27_D",0,0.257533784558554,NA,NA,"D","B"
"36",2023-06-22,"B2_W",0,0.412311452805205,NA,NA,"W","B"
"37",2023-06-22,"B30_W",0,0.315762409369699,NA,NA,"W","B"
"38",2023-06-22,"B38_D",0,0.456671953770486,NA,NA,"D","B"
"39",2023-06-22,"B3_W",0,0.389416682094516,NA,NA,"W","B"
